,city_name,city_id,lat,lon,humidity,wind_sp,cloudiness,prob_preci,uv_index,day_temp,day_temp_feels,rain,rel_humidity,rel_wind_sp,rel_cloudiness,rel_uv_index,rel_day_temp,rel_day_temp_feels,rel_rain,score_avg,score_total
0,Bayeux,3126290.0,49.2764624,-0.7024738,79.85714285714286,10.205714285714285,90.71428571428571,0.9500000000000001,0.6028571428571429,7.554285714285713,4.25,10.268571428571429,0.8614741058217688,0.7385095724389295,1.8270676691729322,-0.3562767352236157,-0.6030460042292068,-0.34661733955784235,0.9918958339496972,3.113007102372663,21.79104971660864
1,Mont Saint Michel,151486647.0,48.6359541,-1.511459954959514,80.42857142857143,9.312857142857142,88.42857142857143,0.9299999999999999,0.6114285714285714,8.145714285714286,5.117142857142857,11.605714285714285,0.8673183470910076,0.6662783839825183,1.7786466165413535,-0.36334697409138866,-0.6501512919400243,-0.4192953162301668,1.0460724521269607,2.92552221748026,20.47865552236182
2,Le Havre,17564290.0,49.4938975,0.1079732,78.0,11.459999999999999,75.14285714285714,0.9242857142857143,0.64,7.757142857142857,3.8642857142857143,10.637142857142857,0.8412810670200017,0.8205033524622436,1.5130827067669173,-0.38290849435166674,-0.6223829950536585,-0.32174427830296864,1.077189788689981,2.9250211472308503,20.47514803061595
3,St Malo,121999.0,48.649518,-2.0260409,76.71428571428571,11.602857142857143,90.42857142857143,0.9471428571428572,0.6071428571428571,8.59142857142857,5.625714285714286,10.428571428571429,0.8275229027471436,0.821602874142612,1.8193984962406016,-0.36042254344956676,-0.6879285160944539,-0.47047905280499497,0.9565274718002359,2.9062216325815777,20.343551428071045
4,Chateau du Haut Koenigsbourg,117144990.0,48.249489800000006,7.34429620253195,74.0,4.558571428571429,95.85714285714286,0.7028571428571428,0.7342857142857142,3.165714285714286,0.8685714285714285,3.2914285714285714,0.7943534952060997,0.33920791558402835,1.9297744360902256,-0.44792475069197046,-0.2159450586488118,-0.031496425185098764,0.23183690481580302,2.5998065171702756,18.19864562019193
5,Amiens,281746639.0,49.8941708,2.2956951,79.71428571428571,8.611428571428572,69.14285714285714,0.7585714285714287,0.6685714285714285,6.645714285714285,3.008571428571429,8.491428571428573,0.8592635687154425,0.6268055429492713,1.3840601503759398,-0.4033257073108283,-0.5302471719812557,-0.24680588218642918,0.7384269568190132,2.4281774573811536,16.997242201668076
6,Besancon,122417.0,47.2380222,6.0243622,79.42857142857143,6.1899999999999995,90.0,0.7214285714285714,0.7857142857142857,5.621428571428572,2.9042857142857144,3.3442857142857143,0.8513972225410954,0.4415647457249849,1.8045112781954888,-0.487518706379372,-0.41563991555263663,-0.18951181245556784,0.28360075981227745,2.28840357188627,16.01882500320389
7,Lille,282028769.0,50.6365654,3.0635282,76.28571428571429,8.327142857142857,79.71428571428571,0.7057142857142857,0.6585714285714286,6.674285714285714,3.142857142857143,4.529999999999999,0.8225879098233057,0.6119562580433634,1.595187969924812,-0.39440110891858365,-0.5297572688758038,-0.2540018042176403,0.4198976624963264,2.2714696182757796,15.900287327930458
8,Rouen,281721777.0,49.4404591,1.0939658,79.57142857142857,8.288571428571428,63.285714285714285,0.8285714285714285,0.6571428571428571,7.3428571428571425,3.9528571428571433,8.254285714285714,0.8575329080717384,0.5987185872063508,1.2673684210526317,-0.3956332468094311,-0.5885481490212757,-0.3319387186401781,0.7648031001615555,2.1723029020213915,15.206120314149741
9,Eguisheim,282202896.0,48.03776220000001,7.317521300603902,72.71428571428571,5.015714285714286,95.71428571428571,0.6528571428571429,0.7342857142857142,6.444285714285714,4.472857142857142,4.4071428571428575,0.7800872945509105,0.371613946363792,1.9275187969924812,-0.44792475069197046,-0.4809667676257578,-0.33518713768443875,0.3374617193344821,2.1526031012394986,15.06822170867649
10,Strasbourg,121990.0,48.584614,7.7507127,72.14285714285714,6.505714285714285,93.71428571428571,0.7114285714285715,0.75,6.202857142857143,3.8485714285714288,3.192857142857143,0.7766603501524731,0.4784278922374778,1.8839097744360902,-0.46186194140212866,-0.46591157246454296,-0.28749529708367705,0.22343980948409584,2.1471690153597884,15.03018310751852
